"ActionReasonId","ActionReasonCode","ActionReason","StartDate","EndDate","ActionId"
300000232445924,"APA","APA Location Change","1951-01-01","4712-12-31",300000000391378
300000000335283,"MANAGER_ADD_ASSIGN","Addition of Assignment for Manager","1900-01-01","4712-12-31",300000000391429
300000000335285,"MANAGER_ADD_CWK_WORK_RELATION","Addition of Contingent Work Relationship for Manager","1900-01-01","4712-12-31",300000000391429
300000000335284,"MANAGER_ADD_CWK","Addition of Contingent Worker for Manager","1900-01-01","4712-12-31",300000000391429
300000000335297,"MANAGER_HIRE_ADD_WORK_RELATION","Addition of Employee Work Relationship for Manager","1900-01-01","4712-12-31",300000000391429
300000000335286,"MANAGER_ADD_EMP_TERMS","Addition of Employment Terms for Manager","1900-01-01","4712-12-31",300000000391429
300000000335288,"MANAGER_ADD_NON_WKR_WORK_RELAT","Addition of Nonworker Work Relationship for Manager","1900-01-01","4712-12-31",300000000391429
300000000335287,"MANAGER_ADD_NON_WKR","Addition of Nonworker for Manager","1900-01-01","4712-12-31",300000000391429
300000000335289,"MANAGER_ADD_PEN_WKR","Addition of Pending Worker for Manager","1900-01-01","4712-12-31",300000000391429
300000000335325,"PLACE_WORK_RELATION","Additional work relationship for Contingent Worker","1900-01-01","4712-12-31",300000000391369
300000000335280,"HIRE_WORK_RELATION","Additional work relationship for Employee","1900-01-01","4712-12-31",300000000391421
300000000335309,"NON_WKR_WORK_RELATION","Additional work relationship for Non-Worker","1900-01-01","4712-12-31",300000000391374
300000232445642,"DGS","Adjust Grade/Step - Struct Rev","1951-01-01","4712-12-31",300000000442336
300000232445641,"ADJ","Adjustment","1951-01-01","4712-12-31",300000000442336
300000232445774,"AMC","Adjustment to Mobility Count","1951-01-01","4712-12-31",300000000391378
300000232445602,"ALP","Admin. Leave with Pay","1951-01-01","4712-12-31",300000232394836
300000232445909,"ALO","Admin. Leave without Pay","1951-01-01","4712-12-31",300000232394840
300000000338516,"CMP_ADM_INDV","Administer Individual Compensation","1900-01-01","4712-12-31",300000000442324
300000232445914,"ADP","Adoption","1951-01-01","4712-12-31",300000232394840
300000232445914,"ADP","Adoption","1951-01-01","4712-12-31",300000232394836
300000000338520,"CMP_ANTD","Advance Labor Agreement","1900-01-01","4712-12-31",300000000442336
300000232445559,"MOA","Agency moved out of Atlas","1951-01-01","4712-12-31",300000000391522
300000000338517,"CMP_AGRE","Agreement Change","1900-01-01","4712-12-31",300000000442336
300000000338519,"CMP_ANNV","Anniversary","1900-01-01","4712-12-31",300000000442326
300000000338519,"CMP_ANNV","Anniversary","1900-01-01","4712-12-31",300000000442336
300000232445681,"CIP","Appointment to IP / NYGS Postn","1951-01-01","4712-12-31",300000000391522
300000232445922,"APP","Approved","1951-01-01","4712-12-31",300000000391500
300000232445704,"ADS","Arrival at Duty Station","1951-01-01","4712-12-31",300000000391378
300000000338521,"CMP_AUT_GSP","Automated Grade Step Progression","2000-01-01","4712-12-31",300000000442366
300000232445595,"BSE","BSE Assignment","1951-01-01","4712-12-31",300000000391524
300000000335270,"CAREERPRO","Career Progression","1900-01-01","4712-12-31",300000000391412
300000000335270,"CAREERPRO","Career Progression","1900-01-01","4712-12-31",300000000391514
300000000335270,"CAREERPRO","Career Progression","1900-01-01","4712-12-31",300000000391405
300000000338544,"CMP_PROG","Career Progression","1900-01-01","4712-12-31",300000000442326
300000000335270,"CAREERPRO","Career Progression","1900-01-01","4712-12-31",300000000391524
300000000338544,"CMP_PROG","Career Progression","1900-01-01","4712-12-31",300000000442336
300000000338522,"CMP_CHG","Change Contribution","1900-01-01","4712-12-31",300000000442373
300000232445583,"CDB","Change Date of Birth","1951-01-01","4712-12-31",300000000391378
300000232445552,"MAR","Change Marital Status","1951-01-01","4712-12-31",300000000391378
300000232445511,"NME","Change Name","1951-01-01","4712-12-31",300000000391378
300000232445685,"NAT","Change Nationality","1951-01-01","4712-12-31",300000000391378
300000232445603,"NSI","Change Next Step Increase Date","1951-01-01","4712-12-31",300000000391378
300000232445883,"HOM","Change Place of Home Leave","1951-01-01","4712-12-31",300000000391378
300000232445575,"DTA_REC","Change Recruitment Place","1951-01-01","4712-12-31",300000000391378
300000232445718,"CVS","Change Visa Status USA","1951-01-01","4712-12-31",300000000391378
300000232445890,"CNT","Change in Contract","1951-01-01","4712-12-31",300000000391378
300000232445543,"LVL","Change in Level","1951-01-01","4712-12-31",300000000442336
300000232445881,"CRS","Change in Rule Series","1951-01-01","4712-12-31",300000000391378
300000000338552,"CMP_WKHR","Change in Work Hours","1900-01-01","4712-12-31",300000000442336
300000000335298,"MANAGER_LOCATION_CHANGE","Change of Location of Manager","1900-01-01","4712-12-31",300000000391429
300000000335299,"MANAGER_MANAGER_CHANGE","Change of Manager of Manager","1900-01-01","4712-12-31",300000000391429
300000232445643,"MDP","Change/Add Dependent","1951-01-01","4712-12-31",300000232394844
300000232445622,"CHC","Child Care","1951-01-01","4712-12-31",300000232394840
300000232445662,"CMO","Comp Revw- Mobility Conversion","1951-01-01","4712-12-31",300000000391378
300000232445734,"EXT","Contract Extension","1951-01-01","4712-12-31",300000000391378
300000232445541,"CRT","Contract Reform Transition","1951-01-01","4712-12-31",300000000391378
300000232445725,"SCP","Contract Transition to PSA","1951-01-01","4712-12-31",300000000391522
300000232445866,"CCU","Conversion Clean Up","1951-01-01","4712-12-31",300000000391378
300000127695469,"HIRE_CONV","Conversion Hire","1951-01-01","4712-12-31",300000000391419
300000232445773,"CNV","Conversion Record","1951-01-01","4712-12-31",300000000391378
300000000338524,"CMP_CONV","Conversion from Legacy","1900-01-01","4712-12-31",300000000442336
300000232445509,"CPS","Conversion from SC to NPSA","1951-01-01","4712-12-31",300000000391367
300000000335271,"CORRECT_INVALID_SUP_ASG_PROC","Correct Invalid Supervisor Assignments Process","1900-01-01","4712-12-31",300000000391429
300000000338523,"CMP_COLA","Cost of Living Adjustment","1900-01-01","4712-12-31",300000000442336
300000000338523,"CMP_COLA","Cost of Living Adjustment","1900-01-01","4712-12-31",300000000442326
300000000335315,"PER_COST_OF_LIVING","Cost-of-Living Index Change","1900-01-01","4712-12-31",300000000391473
300000000335315,"PER_COST_OF_LIVING","Cost-of-Living Index Change","1900-01-01","4712-12-31",300000000391464
300000000335308,"NON_WKR","Creation of Non-Worker","1900-01-01","4712-12-31",300000000391372
300000232445632,"INI","Data Conversion Record","1951-01-01","4712-12-31",300000000391419
300000232445632,"INI","Data Conversion Record","1951-01-01","4712-12-31",300000000391500
300000232445632,"INI","Data Conversion Record","1951-01-01","4712-12-31",300000000391367
300000000335316,"PER_DATA_CORRECTION","Data Correction","1900-01-01","4712-12-31",300000000391464
300000000335316,"PER_DATA_CORRECTION","Data Correction","1900-01-01","4712-12-31",300000000391473
300000232445621,"DEA","Death","1951-01-01","4712-12-31",300000000391522
300000232445854,"ADL_DET","Detail In","1951-01-01","4712-12-31",300000232394846
300000232445544,"DET","Detail To","1951-01-01","4712-12-31",300000232394836
300000232445544,"DET","Detail To","1951-01-01","4712-12-31",300000232394840
300000232445889,"WDM","Disciplinary Measure","1951-01-01","4712-12-31",300000000391382
300000232445810,"DIS","Disciplinary Measures","1951-01-01","4712-12-31",300000000442336
300000232445529,"DSO","Discontinue SOA","1951-01-01","4712-12-31",300000000391378
300000232445860,"DSP","Discontinue SPA","1951-01-01","4712-12-31",300000000391399
300000232445860,"DSP","Discontinue SPA","1951-01-01","4712-12-31",300000000442336
300000232445860,"DSP","Discontinue SPA","1951-01-01","4712-12-31",300000254303271
300000232445860,"DSP","Discontinue SPA","1951-01-01","4712-12-31",300000000391378
300000232445614,"DTG","Discontinue Temporary Grade","1951-01-01","4712-12-31",300000000442336
300000000335275,"DISMISSAL","Dismissal","1900-01-01","4712-12-31",300000000391423
300000232445868,"DUP","Duplicate Hire","1951-01-01","4712-12-31",300000000391522
300000232445876,"ERT","Early Retirement","1951-01-01","4712-12-31",300000000391511
300000232445791,"EDU","Education","1951-01-01","4712-12-31",300000232394840
300000232445683,"EMO","End Mobility/NRE Cur Location","1951-01-01","4712-12-31",300000000391378
300000000335276,"ENDPROB","End Probation","1900-01-01","4712-12-31",300000000391387
300000000335276,"ENDPROB","End Probation","1900-01-01","4712-12-31",300000000391399
300000000335276,"ENDPROB","End Probation","1900-01-01","4712-12-31",300000000391393
300000232445539,"RFL_SCJ","End Second Job Within Agency","1951-01-01","4712-12-31",300000232394842
300000232445818,"TER_SCJ","End Second Job within Agency","1951-01-01","4712-12-31",300000000391522
300000232445797,"ESC","End Secondment","1951-01-01","4712-12-31",300000000391378
300000000335290,"MANAGER_END_ASG","End of Assignment for Manager","1900-01-01","4712-12-31",300000000391429
300000232445673,"TER_DET","End of Detail","1951-01-01","4712-12-31",300000000391522
300000000335291,"MANAGER_END_EMP_TERMS","End of Employment Terms for Manager","1900-01-01","4712-12-31",300000000391429
300000000335292,"MANAGER_END_GLB_TEMP_ASG","End of Global Temporary Assignment for Manager","1900-01-01","4712-12-31",300000000391429
300000232445743,"EIN","End of Internship Programme","1951-01-01","4712-12-31",300000000391522
300000232445744,"TER_LON","End of Loan","1951-01-01","4712-12-31",300000000391522
300000232445664,"ERC","End of RC Admin for UN","1951-01-01","4712-12-31",300000000391522
300000232445781,"RFS","End of Secondment","1951-01-01","4712-12-31",300000000391522
300000232445882,"ETA","End of Temporary Assignment","1951-01-01","4712-12-31",300000000391524
