"LookupType","LookupCode","Meaning","Description","Tag","LegislationCode"
"ACTIVE_INACTIVE","A","Active","Active value",,
"ACTIVE_INACTIVE","I","Inactive","Inactive value",,
"ADDRESS_TYPE","SG_CQ","Company quarters","Company quarters address.","+SG",
"ADDRESS_TYPE","3","Correspondence address",,"+PL",
"ADDRESS_TYPE","JP_C","Current address",,"+JP,+RU",
"ADDRESS_TYPE","HOME","Home Address",,,
"ADDRESS_TYPE","IAT","International Address, Not US",,"+US",
"ADDRESS_TYPE","MAIL","Mailing Address",,,
"ADDRESS_TYPE","SG_O","Overseas","Overseas address.","+SG",
"ADDRESS_TYPE","ORA_HRX_PERMANENT","Permanent Address",,"+SE,+PH",
"ADDRESS_TYPE","POST_BOX ","Post box",,"+NO",
"ADDRESS_TYPE","ORA_HRX_PROVINCIAL","Provincial",,"+PH",
"ADDRESS_TYPE","1","Registered permanent address",,"+PL",
"ADDRESS_TYPE","2","Residence address",,"+JP,+ZA",
"ADDRESS_TYPE","US_RESIDENT_TAX_ADDRESS","Resident Tax Address",,"+US",
"ADDRESS_TYPE","ORA_NL_SICKNESS","Sickness address","Address during sickness absence.","+NL",
"ADDRESS_TYPE","TEMPORARY_ADDRESS","Temporary address",,"+CZ,NO,SE,SK",
"ADDRESS_TYPE","ORA_HRX_VISITING_ADDRESS","Visiting Address",,"+SE",
"ALLOW_SS_UNRST_PROCG","ALWAYS","Always",,,
"ALLOW_SS_UNRST_PROCG","NEVER","Never",,,
"ALLOW_SS_UNRST_PROCG","NDOE","Not during open enrollment",,,
"ALLOW_SS_UNRST_PROCG","HRDC","Only when person's human resources data changes",,,
"APL_NUM_GEN_METHOD","A","Automatic",,,
"APL_NUM_GEN_METHOD","AG","Automatic using global sequence","Use one numbering sequence across your whole enterprise.",,
"APL_NUM_GEN_METHOD","M","Manual",,,
"BENEFIT_LEVEL","1","Primary",,,
"BENEFIT_LEVEL","2","Second",,,
"BENEFIT_LEVEL","3","Third",,,
"BENEXCELUPLD","BENACAUPLD","ACA Override Upload","Downloadable integrated Microsoft Excel workbook to view, edit, or create ACA Overrides.",,
"BENEXCELUPLD","BENUPLDBILPYMTS","Upload Billing Payments","Downloadable integrated Microsoft Excel workbook to upload person billing payments information.",,
"BENEXCELUPLD","BENUPLDCERT","Upload Enrollment Certifications","Downloadable integrated Microsoft Excel workbook to upload person enrollment certification information.",,
"BENEXCELUPLD","BENUPLDPERBBL","Upload Person Benefit Balances","Downloadable integrated Microsoft Excel workbook to view, edit, or create person benefit balances.",,
"BENEXCELUPLD","BENUPLDPERBGP","Upload Person Benefit Groups","Downloadable integrated Microsoft Excel workbook to edit or create benefit group assignments for persons.",,
