"OrganizationId","EffectiveStartDate","EffectiveEndDate","Name","Title","Status","LocationId","LocationCode","LocationName","SetId","SetCode","SetName"
300000235515253,"1951-01-01","4712-12-31","Administrative Services",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235499306,"1951-01-01","4712-12-31","Administrative services /CMS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235503838,"1951-01-01","4712-12-31","Afghanistan",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000229723369,"1951-01-01","4712-12-31","Afghanistan - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723401,"1951-01-01","4712-12-31","Afghanistan - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229722401,"1951-01-01","4712-12-31","Afghanistan - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721872,"1951-01-01","4712-12-31","Afghanistan - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723831,"1951-01-01","4712-12-31","Afghanistan - Procurement",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721541,"1951-01-01","4712-12-31","Afghanistan - Security",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721905,"1951-01-01","4712-12-31","Afghanistan - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229721573,"1951-01-01","4712-12-31","Afghanistan - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723434,"1951-01-01","4712-12-31","Afghanistan-Facilities&Enginee",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229724307,"1951-01-01","4712-12-31","Afghanistan-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000229723472,"1951-01-01","4712-12-31","Afghanistan-WFP",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235516760,"1951-01-01","4712-12-31","Albania",,"A",,,,300000229588822,"UNWOMEN","UNWOMEN Set"
300000235497509,"1951-01-01","4712-12-31","Albania - Administrative Agent",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235495740,"1951-01-01","4712-12-31","Albania - Central",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235524190,"1951-01-01","4712-12-31","Albania - Crisis Prev & Rcvry",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235501308,"1951-01-01","4712-12-31","Albania - Dem. Governance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235501854,"1951-01-01","4712-12-31","Albania - Energy & Envirnmnt",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235510480,"1951-01-01","4712-12-31","Albania - Finance",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235503768,"1951-01-01","4712-12-31","Albania - General Services",,"A",,,,300000229588821,"UNDP","UNDP Set"
