"GradeLadderId","EffectiveStartDate","EffectiveEndDate","Name","ActiveStatus","GradeSetId","GradeTypeCode","GradeType","SetId","SetCode","SetName"
300000230764966,"1951-01-01","4712-12-31","International Professional Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231060765,"1951-01-01","4712-12-31","International PSA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230829619,"1951-01-01","4712-12-31","International PSA UNU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231000312,"1951-01-01","4712-12-31","International PSA UNU US Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230762289,"1951-01-01","4712-12-31","International Volunteer Expert Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230963145,"1951-01-01","4712-12-31","International Volunteer Specialist Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230758546,"1951-01-01","4712-12-31","International Volunteer Youth Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230778123,"1951-01-01","4712-12-31","International Volunteer Youth University Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230963001,"1951-01-01","4712-12-31","National GS AE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230940128,"1951-01-01","4712-12-31","National GS AF Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231054633,"1951-01-01","4712-12-31","National GS AL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230957122,"1951-01-01","4712-12-31","National GS AM Grade Ladder <01/07/19","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231088754,"1951-01-01","4712-12-31","National GS AO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231007392,"1951-01-01","4712-12-31","National GS AR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230923307,"1951-01-01","4712-12-31","National GS AT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230900739,"1951-01-01","4712-12-31","National GS AU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230883536,"1951-01-01","4712-12-31","National GS AZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231068461,"1951-01-01","4712-12-31","National GS BA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230812296,"1951-01-01","4712-12-31","National GS BB Grade Ladder <01/09/12","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230870959,"1951-01-01","4712-12-31","National GS BD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231091616,"1951-01-01","4712-12-31","National GS BE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230845482,"1951-01-01","4712-12-31","National GS BF Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231067918,"1951-01-01","4712-12-31","National GS BG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230811837,"1951-01-01","4712-12-31","National GS BG Grade Ladder <01/08/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230954697,"1951-01-01","4712-12-31","National GS BH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230908573,"1951-01-01","4712-12-31","National GS BI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230972654,"1951-01-01","4712-12-31","National GS BJ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230858738,"1951-01-01","4712-12-31","National GS BO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231102420,"1951-01-01","4712-12-31","National GS BR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230978356,"1951-01-01","4712-12-31","National GS BT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230851961,"1951-01-01","4712-12-31","National GS BW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230790461,"1951-01-01","4712-12-31","National GS BY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230781487,"1951-01-01","4712-12-31","National GS BZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230764459,"1951-01-01","4712-12-31","National GS CA MTR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230964826,"1951-01-01","4712-12-31","National GS CA TOR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230979224,"1951-01-01","4712-12-31","National GS CD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231006452,"1951-01-01","4712-12-31","National GS CF Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230874378,"1951-01-01","4712-12-31","National GS CG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231052345,"1951-01-01","4712-12-31","National GS CG Grade Ladder <01/11/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230820721,"1951-01-01","4712-12-31","National GS CH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230901160,"1951-01-01","4712-12-31","National GS CI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231022655,"1951-01-01","4712-12-31","National GS CL Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230781882,"1951-01-01","4712-12-31","National GS CM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230807971,"1951-01-01","4712-12-31","National GS CN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230856526,"1951-01-01","4712-12-31","National GS CO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230940818,"1951-01-01","4712-12-31","National GS CR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231084002,"1951-01-01","4712-12-31","National GS CR Grade Ladder <01/11/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230848760,"1951-01-01","4712-12-31","National GS CU Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230893037,"1951-01-01","4712-12-31","National GS CV Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230895096,"1951-01-01","4712-12-31","National GS CV Grade Ladder <01/04/16","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230995540,"1951-01-01","4712-12-31","National GS CY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230908458,"1951-01-01","4712-12-31","National GS CY Grade Ladder <01/06/18","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231023662,"1951-01-01","4712-12-31","National GS CZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231096683,"1951-01-01","4712-12-31","National GS DE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230824110,"1951-01-01","4712-12-31","National GS DJ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231088934,"1951-01-01","4712-12-31","National GS DK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230839109,"1951-01-01","4712-12-31","National GS DO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231085427,"1951-01-01","4712-12-31","National GS DZ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230999840,"1951-01-01","4712-12-31","National GS EC Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230909334,"1951-01-01","4712-12-31","National GS EC Grade Ladder <01/09/18","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230913640,"1951-01-01","4712-12-31","National GS EE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230978910,"1951-01-01","4712-12-31","National GS EG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230812203,"1951-01-01","4712-12-31","National GS ER Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231066537,"1951-01-01","4712-12-31","National GS ES Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231047477,"1951-01-01","4712-12-31","National GS ET Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230837792,"1951-01-01","4712-12-31","National GS EX Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230878752,"1951-01-01","4712-12-31","National GS FI Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230921886,"1951-01-01","4712-12-31","National GS FJ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230962683,"1951-01-01","4712-12-31","National GS FM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231097529,"1951-01-01","4712-12-31","National GS FR LIO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231049992,"1951-01-01","4712-12-31","National GS FR PAR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231046162,"1951-01-01","4712-12-31","National GS FR PAR Grade Ladder <01/01/00","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230961365,"1951-01-01","4712-12-31","National GS GA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230826205,"1951-01-01","4712-12-31","National GS GB Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230876881,"1951-01-01","4712-12-31","National GS GE Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231059896,"1951-01-01","4712-12-31","National GS GH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231070482,"1951-01-01","4712-12-31","National GS GM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230842629,"1951-01-01","4712-12-31","National GS GN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230776193,"1951-01-01","4712-12-31","National GS GQ Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230861719,"1951-01-01","4712-12-31","National GS GR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230827289,"1951-01-01","4712-12-31","National GS GT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230787193,"1951-01-01","4712-12-31","National GS GT Grade Ladder <01/09/15","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231003662,"1951-01-01","4712-12-31","National GS GW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230816886,"1951-01-01","4712-12-31","National GS GY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230879082,"1951-01-01","4712-12-31","National GS HK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231043218,"1951-01-01","4712-12-31","National GS HN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230870582,"1951-01-01","4712-12-31","National GS HR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230917189,"1951-01-01","4712-12-31","National GS HR Grade Ladder <01/12/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230880936,"1951-01-01","4712-12-31","National GS HT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
