"LifeEventReasonId","GlobalFlag","SelectableSelfServiceCode","EventTypeCode","LifeEventName","LegalEntityId"
300000231974518,true,,"WORK","Pension Eligibility",
300000231139132,true,,"WORK","New Hire",
300000231139134,true,"ORA_EMP_EVNT","WORK","Termination",
300000231139136,true,"ORA_EMP_EVNT","WORK","Rehire Volunteer ",
300000000337590,true,,"SCHEDDUO","Unrestricted Open",
300000000337591,true,,"SCHEDDUR","Unrestricted Recalculate",
300000000337592,true,,"DRVDAGE","Age Changed",
300000000337593,true,,"DRVDCAL","Combined Age and Length of Service Changed",
300000000337594,true,,"DRVDCMP","Compensation Changed",
300000000337595,true,,"DRVDHRW","Hours Worked in Period Changed",
300000000337596,true,,"DRVDLOS","Length of Service Changed",
300000000337597,true,,"DRVDLSELG","Loss of Eligibility",
300000000337598,true,,"DRVDNLP","No Payment Received or Late Payment",
300000000337599,true,,"DRVDPOEELG","Maximum Period of Enrollment Reached",
300000000337600,true,,"DRVDPOERT","Period of Enrollment Changed",
300000000337601,true,,"DRVDTPF","Total Percent Full Time Changed",
300000000337602,true,,"DRVDVEC","Voluntary End of Coverage",
300000000337603,true,,"DRVDWTGSTF","Satisfied Waiting Period",
300000000337604,true,,"OVRRIDE","Enrollment Override",
300000000337605,true,,"REDUHRS","Reduction of Hours",
300000000337606,true,,"SCHEDDA","Administrative",
300000000337607,true,,"SCHEDDO","Open",
300000000337608,true,,"SCHEDDU","Unrestricted",
300000000337609,true,,"ADDDURENRT","Added during Enrollment",
300000000337610,true,,"QUAINGR","Quartile in Grade",
300000231119334,true,"ORA_EMP_EVNT","PRSNL","Divorce/Legal Separation",
300000231119335,true,,"PRSNL","Death",
300000231119337,true,"ORA_EMP_EVNT","PRSNL","Child-Birth/Adoption",
300000231119338,true,"ORA_EMP_EVNT","PRSNL","Death of Dependent",
300000231119339,true,,"PRSNL","Child Ages Out",
300000231119340,true,,"WORK","Transfer",
300000231119342,true,"ORA_EMP_EVNT","WORK","MSC Life Event",
300000231119343,true,,"WORK","Retiree",
300000231119345,true,"ORA_EMP_EVNT","WORK","Conversion",
300000231119346,true,"ORA_EMP_EVNT","PRSNL","Survivors",
