"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230198748,"1951-01-01","4712-12-31","099U","DS - Aba, Democratic Republic of the Congo","A","CD","Democratic Republic of the Congo",,,"Aba",,0,"COMMON","Common Set","NA, ABA, DEMOCRATIC REPUBLIC OF THE CONGO"
300000230202465,"1951-01-01","4712-12-31","3397","DS - Abancay, Peru","A","PE","Peru",," ","Abancay",,0,"COMMON","Common Set","NA, ABANCAY, PERU"
300000230202605,"1951-01-01","4712-12-31","330Q","DS - Abbottabad, Pakistan","A","PK","Pakistan",,,"Abbottabad",,0,"COMMON","Common Set","NA, ABBOTTABAD, PAKISTAN"
300000230193966,"1951-01-01","4712-12-31","0811","DS - Abeche, Chad","A","TD","Chad",,,"Abeche",,0,"COMMON","Common Set","NA, ABECHE, CHAD"
300000230200940,"1951-01-01","4712-12-31","2250","DS - Abidjan, Cote D'Ivoire","A","CI","Cote d'Ivoire",,,"Abidjan",,0,"COMMON","Common Set","NA, ABIDJAN, COTE D'IVOIRE"
300000230196729,"1951-01-01","4712-12-31","1173","DS - Abomey, Benin","A","BJ","Benin",,,"Abomey",,0,"COMMON","Common Set","NA, ABOMEY, BENIN"
300000230197648,"1951-01-01","4712-12-31","093CJ","DS - Abrego, Colombia","A","CO","Colombia",,,"Abrego",,0,"COMMON","Common Set","NA, Abrego, COLOMBIA"
300000230204242,"1951-01-01","4712-12-31","4490","DS - Abu Dhabi, United Arab Emirates","A","AE","United Arab Emirates",,,"Abu Dhabi",,0,"COMMON","Common Set","NA, Abu Dhabi, United Arab Emirates"
300000230200337,"1951-01-01","4712-12-31","402AD","DS - Abu Jubaiha, Sudan","A","SD","Sudan",,,"Abu Jubaiha",,0,"COMMON","Common Set","NA, ABU JUBAIHA, SUDAN"
300000230200522,"1951-01-01","4712-12-31","3213","DS - Abuja, Nigeria","A","NG","Nigeria",,,"Abuja",,0,"COMMON","Common Set","NA, ABUJA, NIGERIA"
300000230200436,"1951-01-01","4712-12-31","402EE","DS - Abyei, Sudan","A","SD","Sudan",,,"Abyei",,0,"COMMON","Common Set","NA, ABYEI, SUDAN"
300000230196495,"1951-01-01","4712-12-31","0515","DS - Acacio, Bolivia (Plurinational State of)","A","BO","Bolivia (Plurinational State of)",," ","Acacio",,0,"COMMON","Common Set","NA, ACACIO, BOLIVIA (PLURINATIONAL STATE OF)"
300000230202449,"1951-01-01","4712-12-31","2853","DS - Acapulco, Mexico","A","MX","Mexico","Acapulco de Juarez","GUE","Acapulco","39300",0,"COMMON","Common Set","39300, NA, , Acapulco de Juarez, ACAPULCO, , GUE, MEXICO"
300000230195160,"1951-01-01","4712-12-31","1620","DS - Accra, Ghana","A","GH","Ghana",,,"Accra",,0,"COMMON","Common Set","NA, ACCRA, GHANA"
300000230194315,"1951-01-01","4712-12-31","1392","DS - Acurenam, Equatorial Guinea","A","GQ","Equatorial Guinea",,,"Acurenam",,0,"COMMON","Common Set","NA, ACURENAM, EQUATORIAL GUINEA"
300000230202668,"1951-01-01","4712-12-31","402AA","DS - Ad Damazin, Sudan","A","SD","Sudan",,,"Ad Damazin",,0,"COMMON","Common Set","NA, AD DAMAZIN, SUDAN"
300000230198692,"1951-01-01","4712-12-31","213D","DS - Ad Diwaniyah, Iraq","A","IQ","Iraq",,,"Ad Diwaniyah",,0,"COMMON","Common Set","NA, AD DIWANIYAH, IRAQ"
300000230201535,"1951-01-01","4712-12-31","392W","DS - Adado, Somalia","A","SO","Somalia",,,"Adado",,0,"COMMON","Common Set","NA, ADADO, SOMALIA"
300000230201011,"1951-01-01","4712-12-31","392L","DS - Adalei, Somalia","A","SO","Somalia",,,"Adalei",,0,"COMMON","Common Set","NA, ADALEI, SOMALIA"
300000230193789,"1951-01-01","4712-12-31","1410","DS - Addis Ababa, Ethiopia","A","ET","Ethiopia",,,"Addis Ababa",,0,"COMMON","Common Set","NA, ADDIS ABABA, ETHIOPIA"
300000230203265,"1951-01-01","4712-12-31","4924","DS - Aden, Yemen","A","YE","Yemen",,,"Aden",,0,"COMMON","Common Set","NA, ADEN, YEMEN"
300000230197205,"1951-01-01","4712-12-31","141T","DS - Adi Keyih, Eritrea","A","ER","Eritrea",,,"Adi Keyih",,0,"COMMON","Common Set","NA, ADI KEYIH, ERITREA"
300000230204253,"1951-01-01","4712-12-31","4382","DS - Adjumani/Pakelle, Uganda","A","UG","Uganda",,,"Adjumani/Pakelle",,0,"COMMON","Common Set","NA, ADJUMANI/PAKELLE, UGANDA"
300000230195317,"1951-01-01","4712-12-31","081C","DS - Adre, Chad","A","TD","Chad",,,"Adre",,0,"COMMON","Common Set","NA, ADRE, CHAD"
300000230194874,"1951-01-01","4712-12-31","141AA","DS - Afar, Ethiopia","A","ET","Ethiopia",,,"Afar",,0,"COMMON","Common Set","NA, AFAR, ETHIOPIA"
300000230202936,"1951-01-01","4712-12-31","3186","DS - Agadez, Niger","A","NE","Niger",,,"Agadez",,0,"COMMON","Common Set","NA, AGADEZ, NIGER"
300000230194461,"1951-01-01","4712-12-31","204BP","DS - Agartala, India","A","IN","India",,"Tripura","Agartala",,0,"COMMON","Common Set","NA, AGARTALA, Tripura, INDIA"
300000230201255,"1951-01-01","4712-12-31","204H","DS - Ahmedabad, India","A","IN","India",,"Gujarat","Ahmedabad",,0,"COMMON","Common Set","NA, AHMEDABAD, Gujarat, INDIA"
300000230201490,"1951-01-01","4712-12-31","2104","DS - Ahwaz, Iran, Islamic Republic of","A","IR","Iran, Islamic Republic of",,,"Ahwaz",,0,"COMMON","Common Set","NA, AHWAZ, IRAN, ISLAMIC REPUBLIC OF"
300000230203746,"1951-01-01","4712-12-31","7068","DS - Aileu, Timor-Leste","A","TL","Timor-Leste",,,"Aileu",,0,"COMMON","Common Set","NA, AILEU, TIMOR-LESTE"
300000230205697,"2021-10-01","4712-12-31","7053","DS - Ain Ziouani, Palestine, State of","I","PS","Palestine, State of",,,"Ain Ziouani",,0,"COMMON","Common Set","NA, AIN ZIOUANI, PALESTINE, STATE OF"
300000230203301,"1951-01-01","4712-12-31","7065","DS - Ainaro, Timor-Leste","A","TL","Timor-Leste",,,"Ainaro",,0,"COMMON","Common Set","NA, AINARO, TIMOR-LESTE"
300000230194545,"1951-01-01","4712-12-31","204BE","DS - Aizawl, India","A","IN","India",,"Mizoram","Aizawl",,0,"COMMON","Common Set","NA, AIZAWL, Mizoram, INDIA"
300000230199273,"1951-01-01","4712-12-31","204U","DS - Ajmer, India","A","IN","India",,"Rajasthan","Ajmer",,0,"COMMON","Common Set","NA, AJMER, Rajasthan, INDIA"
300000230197325,"1951-01-01","4712-12-31","1601","DS - Akhaltsikhe, Georgia","A","GE","Georgia",,,"Akhaltsikhe",,0,"COMMON","Common Set","NA, AKHALTSIKHE, GEORGIA"
300000230198344,"1951-01-01","4712-12-31","1602","DS - Akhmeta, Georgia","A","GE","Georgia",,,"Akhmeta",,0,"COMMON","Common Set","NA, AKHMETA, GEORGIA"
300000230199523,"1951-01-01","4712-12-31","402K","DS - Akon, South Sudan","A","SS","South Sudan",,,"Akon",,0,"COMMON","Common Set","NA, AKON, SOUTH SUDAN"
300000230199252,"1951-01-01","4712-12-31","2392","DS - Aktobe, Kazakhstan","A","KZ","Kazakhstan",,,"Aktobe",,0,"COMMON","Common Set","NA, AKTOBE, KAZAKHSTAN"
300000230202403,"1951-01-01","4712-12-31","213C","DS - Al Amarah, Iraq","A","IQ","Iraq",,,"Al Amarah",,0,"COMMON","Common Set","NA, AL AMARAH, IRAQ"
300000230202816,"1951-01-01","4712-12-31","4146","DS - Al Hasakah, Syria","A","SY","Syria",,,"Al Hasakah",,0,"COMMON","Common Set","NA, AL HASAKAH, SYRIA"
300000230202132,"1951-01-01","4712-12-31","213E","DS - Al Hillah, Iraq","A","IQ","Iraq",,,"Al Hillah",,0,"COMMON","Common Set","NA, AL HILLAH, IRAQ"
