"OrganizationId","Name","Title","ClassificationCode","OrganizationCode","Status","CreationDate","LastUpdateDate","OrgCode","EffectiveStartDate","EffectiveEndDate"
300000229721688,"Moldova Rep- Dem. Governance",,"DEPARTMENT","CB262942CDCD9707E05396D76F0A67BA 300000229721688 2021-10-18 10.36.10.784","A","2021-10-18T10:36:10.784+00:00","2021-10-18T10:36:11.450+00:00",,"1951-01-01","4712-12-31"
300000229721793,"Ethiopia - Sub-office",,"DEPARTMENT","CB2686BA77519717E05396D76F0A33AC 300000229721793 2021-10-18 10.36.13.863","A","2021-10-18T10:36:13.863+00:00","2021-10-18T10:36:15.275+00:00",,"1951-01-01","4712-12-31"
300000229722004,"Iraq - ICT for Development",,"DEPARTMENT","CB2686BA775C9717E05396D76F0A33AC 300000229722004 2021-10-18 10.36.20.942","A","2021-10-18T10:36:20.942+00:00","2021-10-18T10:36:21.665+00:00",,"1951-01-01","4712-12-31"
300000229722299,"Rep of Yemen-Comms & Advocacy",,"DEPARTMENT","CB26BD218E2D9715E05396D76F0A368C 300000229722299 2021-10-18 10.36.35.548","A","2021-10-18T10:36:35.548+00:00","2021-10-18T10:36:36.310+00:00",,"1951-01-01","4712-12-31"
300000229722566,"Brazil - Sub-office",,"DEPARTMENT","CB26BD218E389715E05396D76F0A368C 300000229722566 2021-10-18 10.36.44.639","A","2021-10-18T10:36:44.639+00:00","2021-10-18T10:36:45.341+00:00",,"1951-01-01","4712-12-31"
300000229722766,"Venezuela - HIV/AIDS",,"DEPARTMENT","CB26C1C556C19713E05396D76F0AE0BD 300000229722766 2021-10-18 10.36.50.958","A","2021-10-18T10:36:50.958+00:00","2021-10-18T10:36:51.733+00:00",,"1951-01-01","4712-12-31"
300000229722912,"Ofc of Sport for Dev't&Peace",,"DEPARTMENT","CB2690B3458F970DE05396D76F0A6CE2 300000229722912 2021-10-18 10.36.55.249","A","2021-10-18T10:36:55.249+00:00","2021-10-18T10:36:55.952+00:00",,"1951-01-01","4712-12-31"
300000229723413,"Brazil - Service Center",,"DEPARTMENT","CB2686BA77789717E05396D76F0A33AC 300000229723413 2021-10-18 10.37.11.257","A","2021-10-18T10:37:11.257+00:00","2021-10-18T10:37:11.971+00:00",,"1951-01-01","4712-12-31"
300000229723809,"Brazil - Dem. Governance",,"DEPARTMENT","CB26BD218E6D9715E05396D76F0A368C 300000229723809 2021-10-18 10.37.24.264","A","2021-10-18T10:37:24.264+00:00","2021-10-18T10:37:24.981+00:00",,"1951-01-01","4712-12-31"
300000229724048,"Honduras - Service Center",,"DEPARTMENT","CB2697BC02BA970FE05396D76F0A6DAF 300000229724048 2021-10-18 10.37.31.864","A","2021-10-18T10:37:31.864+00:00","2021-10-18T10:37:32.607+00:00",,"1951-01-01","4712-12-31"
300000229724114,"Egypt - Poverty Reduction",,"DEPARTMENT","CB26C1C556DD9713E05396D76F0AE0BD 300000229724114 2021-10-18 10.37.34.031","A","2021-10-18T10:37:34.031+00:00","2021-10-18T10:37:34.732+00:00",,"1951-01-01","4712-12-31"
300000229724188,"UAE-UN Sister Agency",,"DEPARTMENT","CB262942CDE49707E05396D76F0A67BA 300000229724188 2021-10-18 10.37.36.195","A","2021-10-18T10:37:36.195+00:00","2021-10-18T10:37:37.367+00:00",,"1951-01-01","4712-12-31"
300000229811130,"Budgetary - Republic of Yemen - Sana'a",,"DEPARTMENT","CB262942D5B49707E05396D76F0A67BA 300000229811130 2021-10-22 15.34.13.901","A","2021-10-22T15:34:13.901+00:00","2021-10-22T15:34:15.214+00:00",,"1951-01-01","4712-12-31"
300000229811295,"Budgetary - Ethiopia - Addis Ababa",,"DEPARTMENT","CB26BD21AA139715E05396D76F0A368C 300000229811295 2021-10-22 15.34.30.88","A","2021-10-22T15:34:30.880+00:00","2021-10-22T15:34:31.608+00:00",,"1951-01-01","4712-12-31"
300000229811306,"Budgetary - United Arab Emirates-Abu Dhabi",,"DEPARTMENT","CB2697BC1264970FE05396D76F0A6DAF 300000229811306 2021-10-22 15.34.31.908","A","2021-10-22T15:34:31.908+00:00","2021-10-22T15:34:32.668+00:00",,"1951-01-01","4712-12-31"
300000229811317,"Budgetary - Div-Multilateral Diplomacy",,"DEPARTMENT","CB26C1C56F339713E05396D76F0AE0BD 300000229811317 2021-10-22 15.34.32.972","A","2021-10-22T15:34:32.972+00:00","2021-10-22T15:34:33.727+00:00",,"1951-01-01","4712-12-31"
300000229844211,"UNDPIND_INV",,"INV","CB26CC8FFF469711E05396D76F0AC129 300000229844211 2021-10-25 12.57.01.004","A","2021-10-25T12:57:01.004+00:00","2021-10-25T12:58:29.547+00:00",,"0001-01-01","4712-12-31"
300000232079058,"UNW-JOR",,"FUN_BUSINESS_UNIT","CF4BD8B377CC46DFE05396D76F0ACC37 300000232079058 2021-10-29 03.29.30.005","A","2021-10-29T03:29:30.005+00:00","2021-10-29T03:30:06.723+00:00",,"0001-01-01","4712-12-31"
300000232079071,"UNW-CMR",,"FUN_BUSINESS_UNIT","CF4E5D5073F646F3E05396D76F0AF0AC 300000232079071 2021-10-29 03.30.26.006","A","2021-10-29T03:30:26.006+00:00","2021-10-29T03:31:03.684+00:00",,"0001-01-01","4712-12-31"
300000229723732,"Rep of Yemen-Central",,"PA_EXPENDITURE_ORG","CB26B02935412689E05394D76F0A376C 300000229723732 2021-10-18 10.37.21.844","A","2021-10-18T10:37:21.844+00:00","2021-10-18T10:37:22.551+00:00",,"1951-01-01","4712-12-31"
300000233681972,"BTN",,"HCM_TRU","UNDP:BTN:1","A","2021-11-09T09:53:09+00:00","2021-11-09T11:40:14.584+00:00",,"1951-01-01","4712-12-31"
300000233684848,"CUP",,"HCM_TRU","UNDP:CUP:1","A","2021-11-09T10:08:14+00:00","2021-11-09T12:05:21.334+00:00",,"1951-01-01","4712-12-31"
300000233912642,"GNF",,"HCM_TRU","UNDP:GNF:1","A","2021-11-09T11:09:24+00:00","2021-11-09T11:17:56.788+00:00",,"1951-01-01","4712-12-31"
300000234091613,"IDR",,"HCM_TRU","UNDP:IDR:1","A","2021-11-10T03:35:18+00:00","2021-11-10T03:37:00.080+00:00",,"1951-01-01","4712-12-31"
300000234093416,"KMF",,"HCM_TRU","UNDP:KMF:1","A","2021-11-10T04:00:50+00:00","2021-11-10T04:02:29.585+00:00",,"1951-01-01","4712-12-31"
300000234107357,"LBP",,"HCM_TRU","UNDP:LBP:1","A","2021-11-10T04:30:03+00:00","2021-11-10T04:31:34.300+00:00",,"1951-01-01","4712-12-31"
300000234127501,"LVL",,"HCM_LRU","UNDP:LVL:1","A","2021-11-10T04:46:26+00:00","2021-11-10T04:47:53.661+00:00",,"1951-01-01","4712-12-31"
300000127714247,"UNSSC-HQ",,"FUN_BUSINESS_UNIT","C0E03108DBC43418E05312166E0A63DD 300000127714247 2021-04-26 12.21.13.71","A","2021-04-26T12:21:13.710+00:00","2021-04-26T12:22:40.064+00:00",,"0001-01-01","4712-12-31"
300000229721554,"Brazil - Finance",,"DEPARTMENT","CB26BD218E149715E05396D76F0A368C 300000229721554 2021-10-18 10.36.06.389","A","2021-10-18T10:36:06.389+00:00","2021-10-18T10:36:07.109+00:00",,"1951-01-01","4712-12-31"
300000232078997,"UNW-G0024",,"FUN_BUSINESS_UNIT","CF4BD8B3406F469FE05396D76F0A2147 300000232078997 2021-10-29 03.23.24.005","A","2021-10-29T03:23:24.005+00:00","2021-10-29T03:24:52.170+00:00",,"0001-01-01","4712-12-31"
300000232079015,"UNW-IND",,"FUN_BUSINESS_UNIT","CF4E5D5073E046F3E05396D76F0AF0AC 300000232079015 2021-10-29 03.25.05.005","A","2021-10-29T03:25:05.005+00:00","2021-10-29T03:25:41.852+00:00",,"0001-01-01","4712-12-31"
300000233678528,"AFA",,"HCM_TRU","UNDP:AFA:1","A","2021-11-09T08:55:33+00:00","2021-11-09T08:57:35.627+00:00",,"1951-01-01","4712-12-31"
300000233681753,"BOB",,"HCM_LRU","UNDP:BOB:1","A","2021-11-09T09:49:18+00:00","2021-11-09T11:32:49.255+00:00",,"1951-01-01","4712-12-31"
300000233681826,"BRL",,"HCM_LRU","UNDP:BRL:1","A","2021-11-09T09:50:26+00:00","2021-11-09T11:34:21.604+00:00",,"1951-01-01","4712-12-31"
300000233682045,"BWP",,"HCM_LRU","UNDP:BWP:1","A","2021-11-09T09:54:33+00:00","2021-11-09T11:41:36.064+00:00",,"1951-01-01","4712-12-31"
300000233682118,"BYR",,"HCM_LRU","UNDP:BYR:1","A","2021-11-09T09:55:59+00:00","2021-11-09T11:43:35.512+00:00",,"1951-01-01","4712-12-31"
300000233682118,"BYR",,"HCM_TRU","UNDP:BYR:1","A","2021-11-09T09:55:59+00:00","2021-11-09T11:43:35.512+00:00",,"1951-01-01","4712-12-31"
300000233682191,"BZD",,"HCM_LRU","UNDP:BZD:1","A","2021-11-09T09:57:10+00:00","2021-11-09T11:45:02.558+00:00",,"1951-01-01","4712-12-31"
300000233682264,"CAD",,"HCM_LRU","UNDP:CAD:1","A","2021-11-09T09:58:24+00:00","2021-11-09T11:46:45.299+00:00",,"1951-01-01","4712-12-31"
