"RoleId","RoleName","RoleCode","Description","ActiveFlag","AbstractRole","DataRole","JobRole","DutyRole","DelegationAllowed","ExternalRole","ObjectVersionNumber"
300000002568637,"Academic Coordinator","ORA_HER_ACADEMIC_COORDINATOR_JOB","Individual responsible for managing the academic offerings of a school or department within a university, including: marketing and promoting the program, recruiting students, and creating, approving, and maintaining programs and course offerings, instructor assignments and hiring, and so on.",true,"N","N","Y",,"N",,229
300000002568669,"Access Certification Administrator","ORA_GTR_USER_ACCESS_CERTIFICATION_MANAGER_JOB","Individual responsible for all aspects of configuration and managing access certifications.",true,"N","N","Y",,"N",,229
300000002568716,"Accounts Payable Invoice Supervisor","ORA_AP_ACCOUNTS_PAYABLE_INVOICE_SUPERVISOR_JOB","Individual responsible for creating accounts payable invoices.",true,"N","N","Y",,"Y",,230
300000002568700,"Accounts Payable Manager","ORA_AP_ACCOUNTS_PAYABLE_MANAGER_JOB","Manages Accounts Payable department and personnel. Overrides exceptions, analyzes Oracle Fusion Payables balances, and submits income tax and withholding reports to meet regulatory requirements.",true,"N","N","Y",,"N",,229
300000002568732,"Accounts Payable Payment Supervisor","ORA_AP_ACCOUNTS_PAYABLE_PAYMENT_SUPERVISOR_JOB","Individual responsible for managing accounts payable payments.",true,"N","N","Y",,"N",,229
300000002568722,"Accounts Payable Specialist","ORA_AP_ACCOUNTS_PAYABLE_SPECIALIST_JOB","Enters invoices ensuring accuracy, uniqueness, and completeness. Matches invoices to correct purchase orders or receipts ensuring that invoices comply with company policy.",true,"N","N","Y",,"N",,229
300000002568712,"Accounts Payable Supervisor","ORA_AP_ACCOUNTS_PAYABLE_SUPERVISOR_JOB","Oversees the activities of Accounts Payables Specialists. Initiates and manages pay runs. Resolves nondata entry holds.",true,"N","N","Y",,"N",,229
300000002568627,"Accounts Receivable Manager","ORA_AR_ACCOUNTS_RECEIVABLE_MANAGER_JOB","Manages all accounts receivable activities, including defining policy and controls, establishing processes and procedures, resolving issues, monitoring and analyzing accounts receivable balances, and creating reports and business intelligence.",true,"N","N","Y",,"Y",,230
300000002568811,"Accounts Receivable Manager Segregated Role","ORA_AR_ACCOUNTS_RECEIVABLE_MANAGER_SOD_JOB","Individual responsible for creating and managing receipts, customer setup and maintenance, accounting, and accounts receivable setup.",true,"N","N","Y",,"Y",,230
300000002568775,"Accounts Receivable Specialist","ORA_AR_ACCOUNTS_RECEIVABLE_SPECIALIST_JOB","Manages and implements all customer payment activities, including receiving customer payments and electronic remittance advice, performing cash handling activities, processing customer payments, and applying payments to customer accounts.",true,"N","N","Y",,"Y",,230
300000002568922,"Accounts Receivable Specialist Segregated Role","ORA_AR_ACCOUNTS_RECEIVABLE_SPECIALIST_SOD_JOB","Individual responsible for managing accounts receivable payments.",true,"N","N","Y",,"N",,229
300000002568823,"Admissions Coordinator","ORA_HEQ_ADMISSIONS_COORDINATOR_JOB","Individual responsible for coordinating student admissions.",true,"N","N","Y",,"N",,229
300000002568699,"Admissions Manager","ORA_HEQ_ADMISSIONS_MANAGER_JOB","Individual responsible for managing the operations of the student admissions office.",true,"N","N","Y",,"N",,229
300000002568619,"Advanced Access Controls Analyst","ORA_GTG_APPLICATION_ACCESS_AUDITOR_JOB","Individual responsible for managing and auditing enterprise advanced access controls.",true,"N","N","Y",,"N",,229
300000002568889,"Advanced Procurement Requester","ORA_POR_ADVANCED_PROCUREMENT_REQUESTER_ABSTRACT","Prepares requisitions on behalf of others and has access to advanced requisition creation permissions.",true,"Y","N","N",,"N",,229
300000002568692,"Advanced Transaction Controls Analyst","ORA_GTG_APPLICATION_CONTROL_MANAGER_JOB","Individual responsible for managing and auditing enterprise advanced transaction controls.",true,"N","N","Y",,"N",,229
300000002568894,"Anonymous User","ORA_FND_ANONYMOUS_USER_ABSTRACT","Maps to OPSS system Anonymous Role",true,"Y","N","N",,"N",,229
300000002568755,"Applicant","ORA_HEQ_APPLICANT_JOB","Individual applying for admissions to a higher education institution, such as a college or university. The role would be assigned to a user prior to being accepted After acceptance they would become a student.",true,"N","N","Y",,"N",,229
300000002568814,"Application Administrator","ORA_FND_APPLICATION_ADMINISTRATOR_JOB","Provides enterprise-wide application administration. Collaborates with specific application administrators to maintain consistent enterprise application setup, architecture, information, rules, and access.",true,"N","N","Y",,"Y",,230
300000002568713,"Application Developer","ORA_FND_APPLICATION_DEVELOPER_JOB","Provides enterprise-wide application administration needed for configuring and extending applications.",true,"N","N","Y",,"N",,229
300000002568762,"Application Diagnostics Administrator","ORA_FND_DIAG_ADMINISTRATOR_JOB","Manages diagnostic tests and data.",true,"N","N","Y",,"N",,229
300000002568779,"Application Diagnostics Advanced User","ORA_FND_DIAG_ADVANCED_USER_JOB","Runs diagnostic test, reviews diagnostic test results. Schedules diagnostic tests or adds test results to application incidents.",true,"N","N","Y",,"N",,229
300000002568750,"Application Diagnostics Regular User","ORA_FND_DIAG_REGULAR_USER_JOB","Runs diagnostic tests. Reviews diagnostic test results. Does not schedule diagnostic tests or add test results to application incidents..",true,"N","N","Y",,"N",,229
300000002568785,"Application Diagnostics Viewer","ORA_FND_DIAG_VIEWER_JOB","Reviews diagnostic test run status and test results for analysis.",true,"N","N","Y",,"N",,229
300000002568810,"Application Implementation Administrator","ORA_ASM_APPLICATION_IMPLEMENTATION_ADMIN_ABSTRACT","Performs all Oracle Fusion Functional Setup Manager duties.",true,"Y","N","N",,"N",,229
300000002568739,"Application Implementation Manager","ORA_ASM_APPLICATION_IMPLEMENTATION_MANAGER_JOB","Manages and monitors an implementation project. Configures offerings, options and features and assigns resources to tasks.",true,"N","N","Y",,"Y",,230
300000002568646,"Asset Accountant","ORA_FA_ASSET_ACCOUNTANT_JOB","Performs asset transactions including additions, adjustments, transfers, and retirements, ensuring accuracy and completeness. Verifies asset information, transaction details, and accounting entries through inquiry and reports.",true,"N","N","Y",,"N",,229
300000002568738,"Asset Accounting Manager","ORA_FA_ASSET_ACCOUNTING_MANAGER_JOB","Manages fixed assets department and personnel. Monitors and performs asset transactions, maintains asset books and set ups in Oracle Fusion Assets, and views asset information and accounting entries.",true,"N","N","Y",,"N",,229
300000002568729,"Asset Administrator","ORA_CSE_ASSET_ADMINISTRATOR_JOB","An experienced functional super user who performs asset-related tasks (setup request, transactions, updates, data audit) as directed. In addition, the Asset Administrator is responsible for general asset application maintenance (for both customer-owned and enterprise-owned assets), such as process monitoring and processing error resolution.",true,"N","N","Y",,"N",,229
