"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"International PSA UNU US USD Salary Basis",300000232389950,"ANNUAL","Annually","UN2P","A","U","NO_COMPONENT",1,2,300000231000443,"USD",300000231588321,300000002583089,"N","N","Y"
"International PSA UNU USD Salary Basis",300000232389953,"ANNUAL","Annually","UNUP","A","U","NO_COMPONENT",1,2,300000230829757,"USD",300000231588321,300000002583089,"N","N","Y"
"International PSA USD Salary Basis",300000232393394,"ANNUAL","Annually","UPSM","A","U","NO_COMPONENT",1,2,300000231060807,"USD",300000231588321,300000002583089,"N","N","Y"
"International Professional USD Salary Basis",300000232392719,"ANNUAL","Annually","UUUP","A","U","NO_COMPONENT",1,2,300000230765202,"USD",300000231685694,300000002583089,"N","N","Y"
"International Volunteer Expert USD Salary Basis",300000232394129,"ANNUAL","Annually","UIV2","A","U","NO_COMPONENT",1,2,300000230762388,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Specialist USD Salary Basis",300000232389970,"ANNUAL","Annually","UIVW","A","U","NO_COMPONENT",1,2,300000230963225,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Youth USD Salary Basis",300000232389989,"ANNUAL","Annually","UIVB","A","U","NO_COMPONENT",1,2,300000230758620,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Youth University USD Salary Basis",300000232389940,"ANNUAL","Annually","UIVC","A","U","NO_COMPONENT",1,2,300000230778177,"USD",300000231605164,300000002583089,"N","N","Y"
"National GS AE AED Salary Basis",300000232393183,"ANNUAL","Annually","AREG","A","U","NO_COMPONENT",1,2,300000230963128,"AED",300000231352117,300000002583089,"N","N","Y"
"National GS AF USD Salary Basis",300000232393680,"ANNUAL","Annually","AFGG","A","U","NO_COMPONENT",1,2,300000230940243,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS AL ALL Salary Basis",300000232391766,"ANNUAL","Annually","ALBG","A","U","NO_COMPONENT",1,2,300000231054699,"ALL",300000231530575,300000002583089,"N","N","Y"
"National GS AM AMD Salary Basis <01/07/19",300000232394231,"ANNUAL","Annually","ARMG","A","U","NO_COMPONENT",1,2,300000230957207,"AMD",300000231536219,300000002583089,"N","N","Y"
"National GS AO USD Salary Basis",300000232392397,"ANNUAL","Annually","AGOG","A","U","NO_COMPONENT",1,2,300000231088784,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS AR ARS Salary Basis",300000232392664,"ANNUAL","Annually","ARGG","A","U","NO_COMPONENT",1,2,300000231007492,"ARS",300000231542248,300000002583089,"N","N","Y"
"National GS AT EUR Salary Basis",300000232394247,"ANNUAL","Annually","AUTG","A","U","NO_COMPONENT",1,2,300000230924029,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS AU AUD Salary Basis",300000232392769,"ANNUAL","Annually","AUSG","A","U","NO_COMPONENT",1,2,300000230901065,"AUD",300000231308562,300000002583089,"N","N","Y"
"National GS AZ AZN Salary Basis",300000232390332,"ANNUAL","Annually","AZEG","A","U","NO_COMPONENT",1,2,300000230883760,"AZN",300000231208805,300000002583089,"N","N","Y"
"National GS BA BAM Salary Basis",300000232391792,"ANNUAL","Annually","BIHG","A","U","NO_COMPONENT",1,2,300000231068515,"BAM",300000231249903,300000002583089,"N","N","Y"
"National GS BB BBD Salary Basis <01/09/12",300000232394398,"ANNUAL","Annually","BRBG","A","U","NO_COMPONENT",1,2,300000230812393,"BBD",300000231567130,300000002583089,"N","N","Y"
"National GS BD BDT Salary Basis",300000232389899,"ANNUAL","Annually","BGDG","A","U","NO_COMPONENT",1,2,300000230871056,"BDT",300000231308594,300000002583089,"N","N","Y"
"National GS BE EUR Salary Basis",300000232389768,"ANNUAL","Annually","BELG","A","U","NO_COMPONENT",1,2,300000231091707,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS BF XOF Salary Basis",300000232390080,"ANNUAL","Annually","BFAG","A","U","NO_COMPONENT",1,2,300000230845651,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS BG BGN Salary Basis",300000232393023,"ANNUAL","Annually","BG2G","A","U","NO_COMPONENT",1,2,300000231068030,"BGN",300000231592505,300000002583089,"N","N","Y"
"National GS BG BGN Salary Basis <01/08/20",300000232391754,"ANNUAL","Annually","BGRG","A","U","NO_COMPONENT",1,2,300000230811905,"BGN",300000231592505,300000002583089,"N","N","Y"
"National GS BH BHD Salary Basis",300000232394218,"ANNUAL","Annually","BH2G","A","U","NO_COMPONENT",1,2,300000230954966,"BHD",300000231395874,300000002583089,"N","N","Y"
"National GS BI BIF Salary Basis",300000232393007,"ANNUAL","Annually","BDIG","A","U","NO_COMPONENT",1,2,300000230908778,"BIF",300000231278921,300000002583089,"N","N","Y"
